,year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
241,2015,See WPRS for details,Missing,W0437,Wintec Energy #2-A,CA,1.3,3974,3974
242,2015,See WPRS for details,59236,W0438,Rising Tree Wind Farm III,CA,99.0,177239,177239
243,2015,See WPRS for details,Missing,W0439,Dutch Energy Wind Farm,CA,9.5,18475,18475
244,2015,See WPRS for details,Missing,W0440,Garnet Wind Energy Center,CA,6.5,18470,18470
245,2015,See WPRS for details,Missing,W0441,Alta X Wind Energy Center,CA,136.8,309409,309409
246,2015,See WPRS for details,Missing,W0442,Alta XI Wind Energy Center,CA,89.7,223610,223610
247,2015,See WPRS for details,Missing,W0443,Mojave 4,CA,29.0,62277,62277
248,2015,See WPRS for details,Missing,W0444,Mojave 5,CA,22.5,55853,55853
249,2015,See WPRS for details,Missing,W0445,Coram Tehachapi LP,CA,6.5,11022,11022
250,2015,See WPRS for details,Missing,W0446,Windpower Partners 1992  L.P - Retired 11/1/2015,CA,30.0,16640,16640
251,2015,See WPRS for details,Missing,W0447,San Gorgonio Wind,CA,49.5,180107,180107
252,2015,See WPRS for details,Missing,W0449,Terra-Gen VG Wind,CA,7.4,12690,12690
253,2015,See WPRS for details,Missing,W0450,Mountain View I,CA,44.4,130223,130223
254,2015,See WPRS for details,Missing,W0451,Mountain View II,CA,22.2,69489,69489
255,2015,See WPRS for details,Missing,W0452,Cabazon Wind,CA,39.0,57038,57038
256,2015,See WPRS for details,Missing,W0453,Windpower Partners 1991  L.P. - Retired 11/1/2015,CA,16.3,3783,3783
257,2015,See WPRS for details,Missing,W0455,City of Soledad,CA,1.0,2932,2932
258,2015,See WPRS for details,Missing,W0457,Taylor Farms,CA,1.0,2441,2441
259,2015,See WPRS for details,Missing,W0458,Rising Tree Wind Farm I,CA,79.2,197511,197511
260,2015,See WPRS for details,Missing,W0459,Rising Tree Wind Farm II,CA,19.8,46622,46622
261,2015,See WPRS for details,60049,W0461,Golden Hills,CA,85.9,10028,10028
262,2015,Shiloh III Wind Project,56874,W0384,Shiloh Wind Project 2 LLC (Shiloh II & III),CA,150.0,412937,412937
263,2015,Terra-Gen Operating Company,50690,W0283,San Gorgonio Westwinds II,CA,43.4,114786,114785
264,2015,Terra-Gen Operating Company,52161,W0359,Kumeyaay Wind Farm,CA,50.0,132710,132710
265,2015,Terra-Gen Operating Company,54931,W0361,Whitewater Hill Partners LLC,CA,61.5,144060,144060
266,2015,Terra-Gen Operating Company,57757,W0367,Pacific Wind Project LLC,CA,140.0,267080,267080
267,2015,Terra-Gen Operating Company,57282,W0370,Alta I Wind Energy Center,CA,150.0,341337,341337
268,2015,Terra-Gen Operating Company,57291,W0372,Alta II Wind Energy Center,CA,150.0,279829,279829
269,2015,Terra-Gen Operating Company,57292,W0387,Alta III Wind Energy Center,CA,150.0,300280,300280
270,2015,Terra-Gen Operating Company,57293,W0388,Alta IV Wind Energy Center,CA,102.0,134743,134743
271,2015,Terra-Gen Operating Company,57294,W0389,Alta V Wind Energy Center,CA,168.0,220011,220011
272,2015,Terra-Gen Operating Company,10586,W0407,Cameron Ridge,CA,59.7,152562,152562
273,2015,Terra-Gen Operating Company,57834,W0415,Pinyon Pines Winds I,CA,168.0,288517,288517
274,2015,Terra-Gen Operating Company,57837,W0416,Pinyon Pines Winds II,CA,132.0,202585,202585
