year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
2016,See WPRS for details,Missing,W0443,Mojave 4,CA,29.0,79508,79508
2016,See WPRS for details,Missing,W0444,Mojave 5,CA,22.5,65104,65104
2016,See WPRS for details,Missing,W0445,Coram Tehachapi LP,CA,6.5,14093,14093
2016,See WPRS for details,Missing,W0447,San Gorgonio Wind,CA,49.5,187884,187884
2016,See WPRS for details,Missing,W0449,Terra-Gen VG Wind,CA,7.4,13321,13321
2016,See WPRS for details,Missing,W0450,Mountain View I,CA,44.4,126972,126972
2016,See WPRS for details,Missing,W0451,Mountain View II,CA,22.2,61572,61572
2016,See WPRS for details,Missing,W0452,Cabazon Wind,CA,38.8,61442,61442
2016,See WPRS for details,Missing,W0455,City of Soledad,CA,1.0,4292,4292
2016,See WPRS for details,Missing,W0457,Taylor Farms,CA,1.0,3892,3892
2016,See WPRS for details,Missing,W0458,Rising Tree Wind Farm I,CA,79.2,243487,243487
2016,See WPRS for details,Missing,W0459,Rising Tree Wind Farm II,CA,19.8,59198,59198
2016,See WPRS for details,60049,W0461,Golden Hills,CA,85.9,282639,282639
2016,See WPRS for details,Missing,W0463,Coram Energy LLC,CA,15.0,50756,50756
2016,Shiloh III Wind Project,56874,W0384,Shiloh Wind Project 2 LLC (Shiloh II & III),CA,153.8,399427,399427
2016,Terra-Gen Operating Company,50690,W0283,San Gorgonio Westwinds II,CA,43.4,110413,110413
2016,Terra-Gen Operating Company,52161,W0359,Kumeyaay Wind Farm,CA,50.0,143754,143754
2016,Terra-Gen Operating Company,54931,W0361,Whitewater Hill Partners LLC,CA,61.5,138295,138295
2016,Terra-Gen Operating Company,57757,W0367,Pacific Wind Project LLC,CA,143.5,328828,328828
2016,Terra-Gen Operating Company,57282,W0370,Alta I Wind Energy Center,CA,150.0,413306,413306
2016,Terra-Gen Operating Company,57291,W0372,Alta II Wind Energy Center,CA,150.0,360211,360211
2016,Terra-Gen Operating Company,57292,W0387,Alta III Wind Energy Center,CA,150.0,380370,380370
2016,Terra-Gen Operating Company,57293,W0388,Alta IV Wind Energy Center,CA,102.0,183385,183385
2016,Terra-Gen Operating Company,57294,W0389,Alta V Wind Energy Center,CA,168.0,293760,293760
2016,Terra-Gen Operating Company,10586,W0407,Cameron Ridge,CA,59.7,175186,175186
2016,Terra-Gen Operating Company,57834,W0415,Pinyon Pines Winds I,CA,168.0,346699,346699
2016,Terra-Gen Operating Company,57837,W0416,Pinyon Pines Winds II,CA,132.0,250438,250438
2016,Westwind Association,Missing,W0300,Westwind Partners LLC (ENXCO) - Decommissioned 7/1/2016,CA,9.1,6101,6101
2016,Windpower Partners 1993 LP,50276,W0318,Wintec Energy Ltd.,CA,2.2,2295,2295
2016,Windstar Energy LLC,57774,W0419,Windstar Energy LLC,CA,120.0,299341,299341
