County,Sector,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
MODOC,Non-Residential,92.909994,95.052513,110.235143,114.232138,107.906257,106.391512,87.847398,93.72065,97.662771,97.814449,87.753975,101.258056,95.925456,95.225146,112.642497
MODOC,Residential,59.28397,56.581161,54.069319,53.422913,61.008204,57.447446,61.363255,60.279271,61.354571,63.026113,58.710808,59.044041,57.577305,56.453333,56.767659
MODOC,Total,152.193964,151.633674,164.304461,167.65505,168.914461,163.838958,149.210652,153.999921,159.017342,160.840561,146.464782,160.302097,153.502761,151.678479,169.410156
MONO,Non-Residential,109.241345,107.246689,111.482643,103.900096,105.545029,103.224998,109.001532,106.848829,108.67452,107.15911,87.818503,91.089757,100.751826,102.595539,75.240664
MONO,Residential,90.329409,84.789601,78.857738,87.621735,98.825775,93.68282,95.687219,94.325758,91.016854,92.55717,97.762652,83.816991,94.855351,92.488524,88.224525
MONO,Total,199.570754,192.03629,190.340381,191.521831,204.370804,196.907819,204.688751,201.174586,199.691374,199.71628,185.581155,174.906748,195.607177,195.084062,163.46519
MONTEREY,Non-Residential,1885.108297,1897.962615,1989.350631,1933.604818,1911.217631,1828.075467,1842.787007,1840.698041,1873.223957,1892.905365,1848.173026,1830.422439,1840.715315,1894.950076,1892.444533
MONTEREY,Residential,701.653526,688.808586,684.295335,687.10485,724.630499,730.595548,733.889804,733.819905,730.734487,731.049577,741.440229,728.511406,715.499783,724.979024,707.434854
MONTEREY,Total,2586.761823,2586.771201,2673.645967,2620.709668,2635.84813,2558.671016,2576.676811,2574.517946,2603.958444,2623.954943,2589.613255,2558.933846,2556.215098,2619.929101,2599.879386
NAPA,Non-Residential,684.75577,696.362524,691.179277,683.101937,680.307068,665.472111,659.88015,646.776211,645.862836,662.636468,635.076077,607.081417,579.346775,574.246732,562.860885
NAPA,Residential,379.777006,361.181776,362.093099,364.036103,374.211795,373.36669,373.678414,375.553895,380.475078,378.102685,376.919394,386.230107,370.132206,363.322856,354.902745
NAPA,Total,1064.532776,1057.5443,1053.272377,1047.13804,1054.518863,1038.8388,1033.558564,1022.330107,1026.337914,1040.739153,1011.995471,993.311524,949.478981,937.569588,917.763629
NEVADA,Non-Residential,270.001867,227.135919,221.40857,226.738695,233.601706,234.977409,232.475677,229.996087,235.769141,246.159393,241.090907,237.717998,229.232288,226.691147,216.490542
NEVADA,Residential,480.439792,433.918557,406.458242,408.017768,423.537883,426.439191,426.577044,425.466235,424.500583,421.317639,413.988501,411.611799,397.552129,398.26262,378.588245
NEVADA,Total,750.441659,661.054476,627.866812,634.756463,657.139589,661.4166,659.05272,655.462322,660.269724,667.477033,655.079407,649.329797,626.784417,624.953767,595.078787
ORANGE,Non-Residential,13285.4654,13479.18572,13799.56671,13807.33366,13571.28062,13470.10927,13337.29865,13207.62288,13769.4635,14406.53969,14262.60066,14474.51989,13972.30913,13808.76441,13330.65585
ORANGE,Residential,6745.080688,6660.559695,6875.75933,7027.539817,6842.062179,7074.021243,6696.172403,6611.917293,6917.070115,7138.559207,6867.750651,6851.103743,6717.035444,6570.917474,6257.849759
ORANGE,Total,20030.54609,20139.74541,20675.32604,20834.87347,20413.34279,20544.13051,20033.47106,19819.54017,20686.53362,21545.0989,21130.35131,21325.62363,20689.34457,20379.68189,19588.50561
PLACER,Non-Residential,1490.620492,1536.053019,1529.567565,1546.175447,1514.314695,1526.624368,1542.778196,1550.784425,1584.539092,1659.792728,1678.212251,1501.618425,1433.111588,1497.078515,1412.925376
PLACER,Residential,1494.201508,1402.455219,1365.818731,1371.385081,1367.259355,1385.03952,1351.89906,1334.98727,1368.091646,1361.152214,1327.189693,1334.73222,1262.960999,1215.669029,1145.232284
PLACER,Total,2984.821999,2938.508238,2895.386296,2917.560528,2881.57405,2911.663889,2894.677256,2885.771695,2952.630737,3020.944942,3005.401944,2836.350645,2696.072586,2712.747544,2558.15766
PLUMAS,Non-Residential,127.080051,135.090753,132.827183,128.073696,141.736476,175.603156,164.470128,121.991337,123.497547,149.243422,146.910117,154.196707,125.40844,127.043336,134.445165
PLUMAS,Residential,100.160673,97.073836,91.395498,98.527385,101.517911,97.831194,101.476186,102.119736,103.35137,103.643092,103.579684,103.455291,102.518722,101.288168,96.163155
PLUMAS,Total,227.240724,232.164589,224.222681,226.601081,243.254387,273.43435,265.946314,224.111073,226.848917,252.886514,250.489801,257.651998,227.927162,228.331504,230.60832
RIVERSIDE,Non-Residential,8346.370176,8275.924076,8199.474845,8775.099956,8536.378939,8612.896343,7845.086027,7727.855456,7906.912973,8327.566932,8239.190522,8255.029738,7807.736576,7639.761613,7236.230474
RIVERSIDE,Residential,7559.940559,7196.655488,7090.413146,6776.627939,6606.599319,6675.290978,6579.905887,6336.530698,6606.966602,6772.741497,6683.145526,6903.024939,5392.832655,5019.32362,5469.54442
RIVERSIDE,Total,15906.31073,15472.57956,15289.88799,15551.7279,15142.97826,15288.18732,14424.99192,14064.38616,14513.87958,15100.30843,14922.33605,15158.05468,13200.56923,12659.08523,12705.77489
SACRAMENTO,Non-Residential,6283.61341,6055.674434,6188.144476,6258.537182,6131.164391,6118.579838,6108.526263,6188.895407,6263.720876,6397.905676,6424.637105,6245.73735,6139.143708,5921.959591,5667.032973
